,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
77,-122.28,37.81,19,1207,243.0,721,207,1.1111,NEAR BAY,108300
78,-122.29,37.81,23,1745,374.0,1054,325,0.8026,NEAR BAY,112500
79,-122.28,37.8,38,684,176.0,344,155,2.0114,NEAR BAY,131300
80,-122.28,37.81,17,924,289.0,609,289,1.5,NEAR BAY,162500
81,-122.27,37.81,52,210,56.0,183,56,1.1667,NEAR BAY,112500
82,-122.28,37.81,52,340,97.0,200,87,1.5208,NEAR BAY,112500
83,-122.28,37.81,52,386,164.0,346,155,0.8075,NEAR BAY,137500
84,-122.28,37.81,35,948,184.0,467,169,1.8088,NEAR BAY,118800
85,-122.28,37.81,52,773,143.0,377,115,2.4083,NEAR BAY,98200
86,-122.27,37.81,40,880,451.0,582,380,0.977,NEAR BAY,118800
87,-122.27,37.81,10,875,348.0,546,330,0.76,NEAR BAY,162500
88,-122.27,37.8,10,105,42.0,125,39,0.9722,NEAR BAY,137500
89,-122.27,37.8,52,249,78.0,396,85,1.2434,NEAR BAY,500001
90,-122.27,37.8,16,994,392.0,800,362,2.0938,NEAR BAY,162500
91,-122.28,37.8,52,215,87.0,904,88,0.8668,NEAR BAY,137500
92,-122.28,37.8,52,96,31.0,191,34,0.75,NEAR BAY,162500
93,-122.27,37.79,27,1055,347.0,718,302,2.6354,NEAR BAY,187500
94,-122.27,37.8,39,1715,623.0,1327,467,1.8477,NEAR BAY,179200
95,-122.26,37.8,36,5329,2477.0,3469,2323,2.0096,NEAR BAY,130000
96,-122.26,37.82,31,4596,1331.0,2048,1180,2.8345,NEAR BAY,183800
97,-122.26,37.81,29,335,107.0,202,91,2.0062,NEAR BAY,125000
98,-122.26,37.82,22,3682,1270.0,2024,1250,1.2185,NEAR BAY,170000
99,-122.26,37.82,37,3633,1085.0,1838,980,2.6104,NEAR BAY,193100
100,-122.25,37.81,29,4656,1414.0,2304,1250,2.4912,NEAR BAY,257800
101,-122.25,37.81,28,5806,1603.0,2563,1497,3.2177,NEAR BAY,273400
102,-122.25,37.81,39,854,242.0,389,228,3.125,NEAR BAY,237500
103,-122.25,37.81,52,2155,701.0,895,613,2.5795,NEAR BAY,350000
104,-122.26,37.81,34,5871,1914.0,2689,1789,2.8406,NEAR BAY,335700
105,-122.24,37.82,52,1509,225.0,674,244,4.9306,NEAR BAY,313400
106,-122.24,37.81,52,2026,482.0,709,456,3.2727,NEAR BAY,268500
107,-122.25,37.81,52,1758,460.0,686,422,3.1691,NEAR BAY,259400
108,-122.24,37.82,52,3481,751.0,1444,718,3.9,NEAR BAY,275700
109,-122.25,37.82,28,3337,855.0,1520,802,3.9063,NEAR BAY,225000
110,-122.25,37.82,52,1424,289.0,550,253,5.0917,NEAR BAY,262500
111,-122.25,37.82,32,3809,1098.0,1806,1022,2.6429,NEAR BAY,218500
112,-122.25,37.82,26,3959,1196.0,1749,1217,3.0233,NEAR BAY,255000
113,-122.25,37.83,52,2376,559.0,939,519,3.1484,NEAR BAY,224100
114,-122.25,37.83,35,1613,428.0,675,422,3.4722,NEAR BAY,243100
115,-122.25,37.83,52,1279,287.0,534,291,3.1429,NEAR BAY,231600
116,-122.25,37.83,28,5022,1750.0,2558,1661,2.4234,NEAR BAY,218500
117,-122.25,37.83,52,4190,1105.0,1786,1037,3.0897,NEAR BAY,234100
118,-122.23,37.84,50,2515,399.0,970,373,5.8596,NEAR BAY,327600
119,-122.23,37.84,47,3175,454.0,1098,485,5.2868,NEAR BAY,347600
120,-122.24,37.83,41,2576,406.0,794,376,5.956,NEAR BAY,366100
121,-122.24,37.85,37,334,54.0,98,47,4.9643,NEAR BAY,335000
122,-122.23,37.85,52,2800,411.0,1061,403,6.3434,NEAR BAY,373600
123,-122.24,37.84,52,3529,574.0,1177,555,5.1773,NEAR BAY,389500
124,-122.24,37.85,52,2612,365.0,901,367,7.2354,NEAR BAY,391100
125,-122.22,37.85,28,5287,1048.0,2031,956,5.457,NEAR BAY,337300
126,-122.22,37.84,50,2935,473.0,1031,479,7.5,NEAR BAY,295200
127,-122.21,37.84,44,3424,597.0,1358,597,6.0194,NEAR BAY,292300
128,-122.21,37.83,40,4991,674.0,1616,654,7.5544,NEAR BAY,411500
129,-122.2,37.84,30,2211,346.0,844,343,6.0666,NEAR BAY,311500
130,-122.21,37.84,34,3038,490.0,1140,496,7.0548,NEAR BAY,325900
131,-122.19,37.84,18,1617,210.0,533,194,11.6017,NEAR BAY,392600
132,-122.2,37.84,35,2865,460.0,1072,443,7.4882,NEAR BAY,319300
133,-122.21,37.83,34,5065,788.0,1627,766,6.8976,NEAR BAY,333300
134,-122.19,37.83,28,1326,184.0,463,190,8.2049,NEAR BAY,335200
135,-122.2,37.83,26,1589,223.0,542,211,8.401,NEAR BAY,351200
136,-122.19,37.83,29,1791,271.0,661,269,6.8538,NEAR BAY,368900
137,-122.19,37.82,32,1835,264.0,635,263,8.317,NEAR BAY,365900
138,-122.2,37.82,37,1229,181.0,420,176,7.0175,NEAR BAY,366700
139,-122.2,37.82,39,3770,534.0,1265,500,6.3302,NEAR BAY,362800
140,-122.18,37.81,30,292,38.0,126,52,6.3624,NEAR BAY,483300
141,-122.21,37.82,52,2375,333.0,813,350,7.0549,NEAR BAY,331400
142,-122.2,37.81,45,2964,436.0,1067,426,6.7851,NEAR BAY,323500
143,-122.21,37.8,50,2833,605.0,1260,552,2.8929,NEAR BAY,216700
144,-122.21,37.8,38,2254,535.0,951,487,3.0812,NEAR BAY,233100
145,-122.21,37.81,52,1389,212.0,510,224,5.2402,NEAR BAY,296400
146,-122.22,37.81,52,1971,335.0,765,308,6.5217,NEAR BAY,273700
147,-122.22,37.8,52,2183,465.0,1129,460,3.2632,NEAR BAY,227700
148,-122.22,37.8,52,2286,464.0,1073,441,3.0298,NEAR BAY,199600
149,-122.22,37.8,52,2721,541.0,1185,515,4.5428,NEAR BAY,239800
150,-122.22,37.81,52,2024,339.0,756,340,4.072,NEAR BAY,270100
151,-122.22,37.81,52,2944,536.0,1034,521,5.3509,NEAR BAY,302100
152,-122.23,37.8,52,2033,486.0,787,459,3.1603,NEAR BAY,269500
153,-122.23,37.81,52,1433,229.0,612,213,4.7708,NEAR BAY,314700
154,-122.22,37.81,52,2927,402.0,1021,380,8.1564,NEAR BAY,390100
155,-122.23,37.81,52,2315,292.0,861,258,8.8793,NEAR BAY,410300
156,-122.24,37.81,52,2485,313.0,953,327,6.8591,NEAR BAY,352400
157,-122.24,37.81,52,1490,238.0,634,256,6.0302,NEAR BAY,287300
158,-122.23,37.81,52,2814,365.0,878,352,7.508,NEAR BAY,348700
159,-122.24,37.81,52,2093,550.0,918,483,2.7477,NEAR BAY,243800
160,-122.24,37.8,52,888,168.0,360,175,2.1944,NEAR BAY,211500
161,-122.25,37.8,52,2087,510.0,1197,488,3.0149,NEAR BAY,218400
162,-122.24,37.81,52,2513,502.0,1048,518,3.675,NEAR BAY,269900
163,-122.25,37.81,46,3232,835.0,1373,747,3.225,NEAR BAY,218800
164,-122.25,37.8,42,4120,1065.0,1715,1015,2.9345,NEAR BAY,225000
165,-122.25,37.8,43,2364,792.0,1359,722,2.1429,NEAR BAY,250000
166,-122.25,37.8,41,1471,469.0,1062,413,1.6121,NEAR BAY,171400
167,-122.25,37.8,29,2468,864.0,1335,773,1.3929,NEAR BAY,193800
168,-122.24,37.79,27,1632,492.0,1171,429,2.3173,NEAR BAY,125000
169,-122.25,37.79,45,1786,526.0,1475,460,1.7772,NEAR BAY,97500
170,-122.25,37.79,50,629,188.0,742,196,2.6458,NEAR BAY,125000
171,-122.25,37.79,52,1339,391.0,1086,363,2.181,NEAR BAY,138800
172,-122.25,37.8,36,1678,606.0,1645,543,2.2303,NEAR BAY,116700
173,-122.25,37.8,43,2344,647.0,1710,644,1.6504,NEAR BAY,151800
174,-122.24,37.8,52,996,228.0,731,228,2.2697,NEAR BAY,127000
175,-122.24,37.8,52,1591,373.0,1118,347,2.1563,NEAR BAY,128600
176,-122.24,37.8,52,1586,398.0,1006,335,2.1348,NEAR BAY,140600
177,-122.24,37.8,47,2046,588.0,1213,554,2.6292,NEAR BAY,182700
178,-122.23,37.8,52,1192,289.0,772,257,2.3833,NEAR BAY,146900
179,-122.24,37.8,52,1803,420.0,1321,401,2.957,NEAR BAY,122800
180,-122.24,37.8,49,2838,749.0,1487,677,2.5238,NEAR BAY,169300
181,-122.23,37.8,52,783,184.0,488,186,1.9375,NEAR BAY,126600
182,-122.23,37.8,51,1590,414.0,949,392,1.9028,NEAR BAY,127900
183,-122.23,37.8,50,1746,480.0,1149,415,2.25,NEAR BAY,123500
184,-122.23,37.8,52,1252,299.0,844,280,2.3929,NEAR BAY,111900
185,-122.23,37.79,43,5963,1344.0,4367,1231,2.1917,NEAR BAY,112800
186,-122.23,37.79,52,1783,395.0,1659,412,2.9357,NEAR BAY,107900
187,-122.23,37.79,30,999,264.0,1011,263,1.8854,NEAR BAY,137500
188,-122.24,37.79,39,1469,431.0,1464,389,2.1638,NEAR BAY,105500
189,-122.24,37.79,47,1372,395.0,1237,303,2.125,NEAR BAY,95500
190,-122.24,37.79,52,674,180.0,647,168,3.375,NEAR BAY,116100
191,-122.24,37.79,43,1626,376.0,1284,357,2.2542,NEAR BAY,112200
192,-122.25,37.79,51,175,43.0,228,55,2.1,NEAR BAY,75000
193,-122.25,37.79,39,461,129.0,381,123,1.6,NEAR BAY,112500
194,-122.25,37.79,52,902,237.0,846,227,3.625,NEAR BAY,125000
195,-122.26,37.8,20,2373,779.0,1659,676,1.6929,NEAR BAY,115000
196,-122.22,37.77,52,391,128.0,520,138,1.6471,NEAR BAY,95000
197,-122.22,37.77,52,1137,301.0,866,259,2.59,NEAR BAY,96400
198,-122.23,37.77,52,769,206.0,612,183,2.57,NEAR BAY,72000
199,-122.23,37.78,52,472,146.0,415,126,2.6429,NEAR BAY,71300
200,-122.23,37.78,52,862,215.0,994,213,3.0257,NEAR BAY,80800
201,-122.22,37.78,50,1920,530.0,1525,477,1.4886,NEAR BAY,128800
202,-122.23,37.78,43,1420,472.0,1506,438,1.9338,NEAR BAY,112500
203,-122.23,37.78,52,986,258.0,1008,255,1.4844,NEAR BAY,119400
204,-122.23,37.78,44,2340,825.0,2813,751,1.6009,NEAR BAY,118100
205,-122.23,37.79,48,1696,396.0,1481,343,2.0375,NEAR BAY,122500
206,-122.23,37.79,49,1175,217.0,859,219,2.293,NEAR BAY,106300
207,-122.22,37.79,37,2343,574.0,1608,523,2.1494,NEAR BAY,132500
208,-122.23,37.79,30,610,145.0,425,140,1.6198,NEAR BAY,122700
209,-122.23,37.79,40,930,199.0,564,184,1.3281,NEAR BAY,113300
210,-122.22,37.79,44,1487,314.0,961,272,3.5156,NEAR BAY,109500
211,-122.22,37.79,52,3424,690.0,2273,685,3.9048,NEAR BAY,164700
212,-122.21,37.79,52,762,190.0,600,195,3.0893,NEAR BAY,125000
213,-122.22,37.79,46,2366,575.0,1647,527,2.6042,NEAR BAY,124700
214,-122.22,37.79,49,1826,450.0,1201,424,2.5,NEAR BAY,136700
215,-122.22,37.79,38,3049,711.0,2167,659,2.7969,NEAR BAY,141700
216,-122.2,37.79,29,1640,376.0,939,340,2.8321,NEAR BAY,150000
217,-122.21,37.79,47,1543,307.0,859,292,2.9583,NEAR BAY,138800
218,-122.21,37.79,34,2364,557.0,1517,516,2.8365,NEAR BAY,139200
219,-122.21,37.79,35,1745,409.0,1143,386,2.875,NEAR BAY,143800
220,-122.21,37.8,39,2003,500.0,1109,464,3.0682,NEAR BAY,156500
221,-122.21,37.8,39,2018,447.0,1221,446,3.0757,NEAR BAY,151000
222,-122.2,37.8,43,3045,499.0,1115,455,4.9559,NEAR BAY,273000
223,-122.2,37.8,52,1547,293.0,706,268,4.7721,NEAR BAY,217100
224,-122.21,37.8,52,3519,711.0,1883,706,3.4861,NEAR BAY,187100
225,-122.2,37.8,41,2070,354.0,804,340,5.1184,NEAR BAY,239600
226,-122.21,37.8,48,1321,263.0,506,252,4.0977,NEAR BAY,229700
227,-122.19,37.8,48,1694,259.0,610,238,4.744,NEAR BAY,257300
228,-122.19,37.8,46,1938,341.0,768,332,4.2727,NEAR BAY,246900
229,-122.19,37.79,50,968,195.0,462,184,2.9844,NEAR BAY,179900
230,-122.2,37.79,40,1060,256.0,667,235,4.1739,NEAR BAY,169600
231,-122.2,37.8,46,2041,405.0,1059,399,3.8487,NEAR BAY,203300
232,-122.19,37.8,52,1813,271.0,637,277,4.0114,NEAR BAY,263400
233,-122.19,37.79,45,2718,451.0,1106,454,4.6563,NEAR BAY,231800
234,-122.19,37.79,28,3144,761.0,1737,669,2.9297,NEAR BAY,140500
235,-122.2,37.79,35,1802,459.0,1009,390,2.3036,NEAR BAY,126000
236,-122.2,37.79,49,882,195.0,737,210,2.6667,NEAR BAY,122000
237,-122.2,37.79,44,1621,452.0,1354,491,2.619,NEAR BAY,134700
238,-122.21,37.79,45,2115,533.0,1530,474,2.4167,NEAR BAY,139400
239,-122.2,37.79,45,2021,528.0,1410,480,2.7788,NEAR BAY,115400
240,-122.21,37.78,46,2239,508.0,1390,569,2.7352,NEAR BAY,137300
241,-122.21,37.78,52,1477,300.0,1065,269,1.8472,NEAR BAY,137000
242,-122.21,37.78,52,1056,224.0,792,245,2.6583,NEAR BAY,142600
243,-122.21,37.78,49,898,244.0,779,245,3.0536,NEAR BAY,137500
244,-122.22,37.78,44,2968,710.0,2269,610,2.3906,NEAR BAY,111700
245,-122.21,37.78,43,1702,460.0,1227,407,1.7188,NEAR BAY,126800
246,-122.21,37.78,47,881,248.0,753,241,2.625,NEAR BAY,111300
247,-122.22,37.77,40,494,114.0,547,135,2.8015,NEAR BAY,114800
248,-122.22,37.78,50,1776,473.0,1807,440,1.7276,NEAR BAY,102300
249,-122.22,37.78,44,1678,514.0,1700,495,2.0801,NEAR BAY,131900
250,-122.22,37.78,51,1637,463.0,1543,393,2.489,NEAR BAY,119100
251,-122.21,37.76,52,1420,314.0,1085,300,1.7546,NEAR BAY,80600
252,-122.21,37.77,52,591,173.0,353,137,4.0904,NEAR BAY,80600
253,-122.21,37.77,52,745,153.0,473,149,2.6765,NEAR BAY,88800
254,-122.2,37.77,49,2272,498.0,1621,483,2.4338,NEAR BAY,102400
255,-122.21,37.77,46,1234,375.0,1183,354,2.3309,NEAR BAY,98700
256,-122.21,37.77,43,1017,328.0,836,277,2.2604,NEAR BAY,100000
257,-122.19,37.77,42,932,254.0,900,263,1.8039,NEAR BAY,92300
258,-122.2,37.77,39,2689,597.0,1888,537,2.2562,NEAR BAY,94800
259,-122.2,37.77,41,1547,415.0,1024,341,2.0562,NEAR BAY,102000
260,-122.2,37.78,52,2300,443.0,1225,423,3.5398,NEAR BAY,158400
261,-122.2,37.78,39,1752,399.0,1071,376,3.1167,NEAR BAY,121600
262,-122.2,37.78,50,1867,403.0,1128,378,2.5401,NEAR BAY,129100
263,-122.2,37.77,43,2430,502.0,1537,484,2.898,NEAR BAY,121400
264,-122.21,37.78,44,1729,414.0,1240,393,2.3125,NEAR BAY,102800
265,-122.19,37.78,52,1026,180.0,469,168,2.875,NEAR BAY,160000
266,-122.19,37.77,52,2170,428.0,1086,425,3.3715,NEAR BAY,143900
267,-122.19,37.77,52,2329,445.0,1144,417,3.5114,NEAR BAY,151200
268,-122.19,37.78,52,2492,415.0,1109,375,4.3125,NEAR BAY,164400
269,-122.19,37.78,52,2198,397.0,984,369,3.22,NEAR BAY,156500
270,-122.18,37.78,33,142,31.0,575,47,3.875,NEAR BAY,225000
271,-122.19,37.78,49,1183,205.0,496,209,5.2328,NEAR BAY,174200
272,-122.19,37.78,52,1070,193.0,555,190,3.7262,NEAR BAY,166900
273,-122.2,37.78,45,1766,332.0,869,327,4.5893,NEAR BAY,163500
274,-122.18,37.79,39,617,95.0,236,106,5.2578,NEAR BAY,253000
275,-122.18,37.79,41,1411,233.0,626,214,7.0875,NEAR BAY,240700
276,-122.18,37.79,46,2109,387.0,922,329,3.9712,NEAR BAY,208100
277,-122.19,37.79,47,1229,243.0,582,256,2.9514,NEAR BAY,198100
278,-122.19,37.79,50,954,217.0,546,201,2.6667,NEAR BAY,172800
279,-122.18,37.81,37,1643,262.0,620,266,5.4446,NEAR BAY,336700
280,-122.18,37.8,34,1355,195.0,442,195,6.2838,NEAR BAY,318200
281,-122.18,37.8,23,2317,336.0,955,328,6.7527,NEAR BAY,285800
282,-122.13,37.77,24,2459,317.0,916,324,7.0712,NEAR BAY,293000
283,-122.16,37.79,22,12842,2048.0,4985,1967,5.9849,NEAR BAY,371000
284,-122.17,37.78,42,1524,260.0,651,267,3.6875,NEAR BAY,157300
285,-122.17,37.77,30,3326,746.0,1704,703,2.875,NEAR BAY,135300
286,-122.18,37.78,43,1985,440.0,1085,407,3.4205,NEAR BAY,136700
287,-122.18,37.78,50,1642,322.0,713,284,3.2984,NEAR BAY,160700
288,-122.17,37.78,49,893,177.0,468,181,3.875,NEAR BAY,140600
289,-122.17,37.78,52,653,128.0,296,121,4.175,NEAR BAY,144000
290,-122.16,37.77,47,1256,,570,218,4.375,NEAR BAY,161900
291,-122.16,37.77,48,977,194.0,446,180,4.7708,NEAR BAY,156300
292,-122.16,37.77,45,2324,397.0,968,384,3.5739,NEAR BAY,176000
293,-122.16,37.77,39,1583,349.0,857,316,3.0958,NEAR BAY,145800
294,-122.17,37.77,39,1612,342.0,912,322,3.3958,NEAR BAY,141900
295,-122.17,37.77,31,2424,533.0,1360,452,1.871,NEAR BAY,90700
296,-122.17,37.76,41,1594,367.0,1074,355,1.9356,NEAR BAY,90600
297,-122.17,37.76,47,2118,413.0,965,382,2.1842,NEAR BAY,107900
298,-122.18,37.76,37,1575,358.0,933,320,2.2917,NEAR BAY,107000
299,-122.17,37.76,38,1764,397.0,987,354,2.4333,NEAR BAY,98200
300,-122.18,37.76,50,1187,261.0,907,246,1.9479,NEAR BAY,89500
301,-122.18,37.76,52,754,175.0,447,165,3.9063,NEAR BAY,93800
302,-122.18,37.76,49,2308,452.0,1299,451,1.8407,NEAR BAY,96700
303,-122.18,37.77,27,909,236.0,396,157,2.0786,NEAR BAY,97500
304,-122.18,37.77,42,1180,257.0,877,268,2.8125,NEAR BAY,97300
305,-122.18,37.76,43,2018,408.0,1111,367,1.8913,NEAR BAY,91200
306,-122.19,37.76,49,1368,282.0,790,269,1.7056,NEAR BAY,91400
307,-122.18,37.77,52,2744,547.0,1479,554,2.2768,NEAR BAY,96200
308,-122.18,37.77,51,2107,471.0,1173,438,3.2552,NEAR BAY,120100
309,-122.18,37.77,52,1748,362.0,1029,366,2.0556,NEAR BAY,100000
310,-122.19,37.76,52,2024,391.0,1030,350,2.4659,NEAR BAY,94700
311,-122.2,37.76,47,1116,259.0,826,279,1.75,NEAR BAY,85700
312,-122.19,37.77,41,2036,510.0,1412,454,2.0469,NEAR BAY,89300
313,-122.19,37.77,45,1852,393.0,1132,349,2.7159,NEAR BAY,101400
314,-122.19,37.76,41,921,207.0,522,159,1.2083,NEAR BAY,72500
315,-122.19,37.76,45,995,238.0,630,237,1.925,NEAR BAY,74100
316,-122.2,37.75,36,606,132.0,531,133,1.5809,NEAR BAY,70000
317,-122.2,37.76,37,2680,736.0,1925,667,1.4097,NEAR BAY,84600
318,-122.19,37.76,38,1493,370.0,1144,351,0.7683,NEAR BAY,81800
319,-122.19,37.75,19,2207,565.0,1481,520,1.3194,NEAR BAY,81400
320,-122.19,37.75,28,856,189.0,435,162,0.8012,NEAR BAY,81800
321,-122.19,37.76,26,1293,297.0,984,303,1.9479,NEAR BAY,85800
322,-122.19,37.74,36,847,212.0,567,159,1.1765,NEAR BAY,87100
323,-122.18,37.74,42,541,154.0,380,123,2.3456,NEAR BAY,83500
324,-122.19,37.73,44,1066,253.0,825,244,2.1538,NEAR BAY,79700
325,-122.19,37.74,43,707,147.0,417,155,2.5139,NEAR BAY,83400
326,-122.19,37.73,45,1528,291.0,801,287,1.2625,NEAR BAY,84700
327,-122.18,37.73,42,909,215.0,646,198,2.9063,NEAR BAY,80000
328,-122.18,37.73,43,1391,293.0,855,285,2.5192,NEAR BAY,76400
329,-122.18,37.73,44,548,119.0,435,136,2.1111,NEAR BAY,79700
330,-122.18,37.73,42,4074,874.0,2736,780,2.455,NEAR BAY,82400
331,-122.17,37.74,41,1613,445.0,1481,414,2.4028,NEAR BAY,97700
332,-122.17,37.74,47,463,134.0,327,137,2.15,NEAR BAY,97200
333,-122.17,37.74,43,818,193.0,494,179,2.4776,NEAR BAY,101600
334,-122.17,37.73,43,1473,371.0,1231,341,2.1587,NEAR BAY,86500
335,-122.18,37.74,35,504,126.0,323,109,1.8438,NEAR BAY,90500
336,-122.17,37.74,46,1026,226.0,749,225,3.0298,NEAR BAY,107600
337,-122.17,37.74,46,769,183.0,693,178,2.25,NEAR BAY,84200
338,-122.18,37.74,46,2103,391.0,1339,354,2.2467,NEAR BAY,88900
339,-122.18,37.75,45,330,76.0,282,80,4.0469,NEAR BAY,80700
340,-122.18,37.75,46,941,218.0,621,195,1.325,NEAR BAY,87100
341,-122.17,37.75,38,992,,732,259,1.6196,NEAR BAY,85100
342,-122.18,37.75,45,990,261.0,901,260,2.1731,NEAR BAY,82000
343,-122.19,37.75,36,1126,263.0,482,150,1.9167,NEAR BAY,82800
344,-122.18,37.75,43,1036,233.0,652,213,2.069,NEAR BAY,84600
345,-122.18,37.75,36,1047,214.0,651,166,1.712,NEAR BAY,82100
346,-122.17,37.76,33,1280,307.0,999,286,2.5625,NEAR BAY,89300
